CD,Incumbent,Party,Clinton,Trump,2016Winner,IncumbentRunning
AK-AL,"Young, Don",R,37.64,52.81,Romney,Y
AL-01,"Byrne, Bradley",R,34.06,63.48,Romney,Y
AL-02,"Roby, Martha",R,33.01,64.94,Romney,Y
AL-03,"Rogers, Mike",R,32.31,65.27,Romney,Y
AL-04,"Aderholt, Rob",R,17.45,8.37,Romney,Y
AL-05,"Brooks, Mo",R,31.35,64.71,Romney,Y
AL-06,"Palmer, Gary",R,26.11,70.79,Romney,Y
AL-07,"Sewell, Terri",D,69.77,28.62,Obama,Y
AR-01,"Crawford, Rick",R,30.18,64.99,Romney,Y
AR-02,"Hill, French",R,41.66,52.38,Romney,Y
AR-03,"Womack, Steve",R,30.49,61.92,Romney,Y
AR-04,"Westerman, Bruce",R,31.33,64.16,Romney,Y
AZ-01,"O'Halleran, Tom",D,46.63,4.7,Romney,Y
AZ-02,"McSally, Martha",R,49.61,44.71,Romney,N
AZ-03,"Grijalva, Raul",D,62.4,32.52,Obama,Y
AZ-04,"Gosar, Paul",R,27.54,67.69,Romney,Y
AZ-05,"Biggs, Andy",R,36.52,57.64,Romney,Y
AZ-06,"Schweikert, David",R,42.44,52.41,Romney,Y
AZ-07,"Gallego, Ruben",D,71.75,22.65,Obama,Y
AZ-08,"Lesko, Debbie",R,36.96,8.1,Romney,Y
AZ-09,"Sinema, Kyrsten",D,54.66,38.44,Obama,N
CA-01,"LaMalfa, Doug",R,36.54,56.17,Romney,Y
CA-02,"Huffman, Jared",D,69.04,23.35,Obama,Y
CA-03,"Garamendi, John",D,52.99,40.39,Obama,Y
CA-04,"McClintock, Tom",R,39.27,54.03,Romney,Y
CA-05,"Thompson, Mike",D,69.15,24.29,Obama,Y
CA-06,"Matsui, Doris",D,69.16,24.41,Obama,Y
CA-07,"Bera, Ami",D,52.3,40.86,Obama,Y
CA-08,"Cook, Paul",R,39.61,54.74,Romney,Y
CA-09,"McNerney, Jerry",D,56.56,37.99,Obama,Y
CA-10,"Denham, Jeff",R,48.54,45.54,Obama,Y
CA-11,"DeSaulnier, Mark",D,71.52,22.67,Obama,Y
CA-12,"Pelosi, Nancy",D,86.19,8.68,Obama,Y
CA-13,"Lee, Barbara",D,87.35,6.81,Obama,Y
CA-14,"Speier, Jackie",D,76.91,18.21,Obama,Y
CA-15,"Swalwell, Eric",D,69.93,24.18,Obama,Y
CA-16,"Costa, Jim",D,57.96,36.37,Obama,Y
CA-17,"Khanna, Ro",D,73.91,20.48,Obama,Y
CA-18,"Eshoo, Anna",D,73.41,20.23,Obama,Y
CA-19,"Lofgren, Zoe",D,72.91,21.49,Obama,Y
CA-20,"Panetta, Jimmy",D,70.35,23.22,Obama,Y
CA-21,"Valadao, David",R,55.24,39.67,Obama,Y
CA-22,"Nunes, Devin",R,42.6,52.09,Romney,Y
CA-23,"McCarthy, Kevin",R,36.07,58.13,Romney,Y
CA-24,"Carbajal, Salud",D,56.69,36.48,Obama,Y
CA-25,"Knight, Steve",R,50.32,43.65,Romney,Y
CA-26,"Brownley, Julia",D,57.86,36.02,Obama,Y
CA-27,"Chu, Judy",D,66,28.35,Obama,Y
CA-28,"Schiff, Adam",D,72.13,22.34,Obama,Y
CA-29,"Cardenas, Tony",D,77.74,16.8,Obama,Y
CA-30,"Sherman, Brad",D,69.07,25.66,Obama,Y
CA-31,"Aguilar, Pete",D,57.67,36.58,Obama,Y
CA-32,"Napolitano, Grace",D,66.56,27.69,Obama,Y
CA-33,"Lieu, Ted",D,67.81,26.48,Obama,Y
CA-34,"Gomez, Jimmy",D,83.56,10.72,Obama,Y
CA-35,"Torres, Norma",D,67.74,26.95,Obama,Y
CA-36,"Ruiz, Raul",D,52.15,43.41,Obama,Y
CA-37,"Bass, Karen",D,85.69,9.64,Obama,Y
CA-38,"Sanchez, Linda",D,66.97,27.41,Obama,Y
CA-39,"Royce, Ed",R,51.47,42.86,Romney,Y
CA-40,"Roybal-Allard, Lucille",D,82.25,12.8,Obama,Y
CA-41,"Takano, Mark",D,60.98,33.11,Obama,Y
CA-42,"Calvert, Ken",R,41.41,53.36,Romney,Y
CA-43,"Waters, Maxine",D,78.37,16.68,Obama,Y
CA-44,"Barragan, Nanette",D,83.04,12.27,Obama,Y
CA-45,"Walters, Mimi",R,49.84,44.39,Romney,Y
CA-46,"Correa, Lou",D,66.26,27.89,Obama,Y
CA-47,"Lowenthal, Alan",D,62.61,31.03,Obama,Y
CA-48,"Rohrabacher, Dana",R,47.91,46.2,Romney,Y
CA-49,"Issa, Darrell",R,50.66,43.18,Romney,Y
CA-50,"Hunter, Duncan",R,39.56,54.57,Romney,Y
CA-51,"Vargas, Juan",D,71.85,22.79,Obama,Y
CA-52,"Peters, Scott",D,58.11,35.55,Obama,Y
CA-53,"Davis, Susan",D,64.51,29.58,Obama,Y
CO-01,"DeGette, Diana",D,69.02,23.23,Obama,Y
CO-02,"Polis, Jared",D,56.2,34.95,Obama,N
CO-03,"Tipton, Scott",R,40.05,51.96,Romney,Y
CO-04,"Buck, Ken",R,34.26,57.42,Romney,Y
CO-05,"Lamborn, Doug",R,33.22,57.17,Romney,Y
CO-06,"Coffman, Mike",R,50.22,41.29,Obama,Y
CO-07,"Perlmutter, Ed",D,51.43,39.42,Obama,Y
CT-01,"Larson, John",D,59.4,36.32,Obama,Y
CT-02,"Courtney, Joe",D,48.66,45.77,Obama,Y
CT-03,"DeLauro, Rosa",D,55.88,40.38,Obama,Y
CT-04,"Himes, Jim",D,59.57,36.56,Obama,Y
CT-05,"Esty, Elizabeth",D,49.93,45.83,Obama,Y
DE-AL,"Blunt Rochester, Lisa",D,53.35,41.92,Obama,Y
FL-01,"Gaetz, Matt",R,28.17,67.51,Romney,Y
