state,date,year,office,district,party,votes
AK,2014-08-20,2014,U.S. House,1,DEM,39209
AK,2014-08-20,2014,U.S. House,1,REP,86655
AL,2014-06-03,2014,U.S. House,1,DEM,0
AL,2014-06-03,2014,U.S. House,1,REP,0
AL,2014-06-03,2014,U.S. House,2,DEM,0
AL,2014-06-03,2014,U.S. House,2,REP,0
AL,2014-06-03,2014,U.S. House,3,DEM,0
AL,2014-06-03,2014,U.S. House,3,REP,66023
AL,2014-06-03,2014,U.S. House,4,REP,0
AL,2014-06-03,2014,U.S. House,5,REP,60881
AL,2014-06-03,2014,U.S. House,6,DEM,0
AL,2014-06-03,2014,U.S. House,6,REP,94354
AL,2014-06-03,2014,U.S. House,7,DEM,89175
AR,2014-05-20,2014,U.S. House,1,DEM,0
AR,2014-05-20,2014,U.S. House,1,REP,0
AR,2014-05-20,2014,U.S. House,2,DEM,0
AR,2014-05-20,2014,U.S. House,2,REP,54231
AR,2014-05-20,2014,U.S. House,3,REP,0
AR,2014-05-20,2014,U.S. House,4,DEM,0
AR,2014-05-20,2014,U.S. House,4,REP,33580
AZ,2014-08-26,2014,U.S. House,1,DEM,0
AZ,2014-08-26,2014,U.S. House,1,REP,46109
AZ,2014-08-26,2014,U.S. House,2,DEM,0
AZ,2014-08-26,2014,U.S. House,2,REP,58213
AZ,2014-08-26,2014,U.S. House,3,DEM,0
AZ,2014-08-26,2014,U.S. House,3,REP,0
AZ,2014-08-26,2014,U.S. House,4,DEM,0
AZ,2014-08-26,2014,U.S. House,4,REP,0
AZ,2014-08-26,2014,U.S. House,5,DEM,0
AZ,2014-08-26,2014,U.S. House,5,REP,0
AZ,2014-08-26,2014,U.S. House,6,DEM,0
AZ,2014-08-26,2014,U.S. House,6,REP,0
AZ,2014-08-26,2014,U.S. House,7,DEM,24097
AZ,2014-08-26,2014,U.S. House,8,REP,56261
AZ,2014-08-26,2014,U.S. House,9,DEM,0
AZ,2014-08-26,2014,U.S. House,9,REP,38227
CA,2014-06-03,2014,U.S. House,1,REP,65005
CA,2014-06-03,2014,U.S. House,1,DEM,38369
CA,2014-06-03,2014,U.S. House,2,DEM,81895
CA,2014-06-03,2014,U.S. House,2,REP,24426
CA,2014-06-03,2014,U.S. House,3,DEM,0
CA,2014-06-03,2014,U.S. House,3,REP,0
CA,2014-06-03,2014,U.S. House,4,REP,86485
CA,2014-06-03,2014,U.S. House,4,NPD,23870
CA,2014-06-03,2014,U.S. House,5,DEM,63035
CA,2014-06-03,2014,U.S. House,5,NPD,15307
