state,district,party,year,votes,candidates
AL,1,REP,2006,0,1
AL,1,DEM,2006,0,1
AL,2,REP,2006,0,1
AL,2,DEM,2006,51074,2
AL,3,REP,2006,0,1
AL,3,DEM,2006,0,1
AL,4,REP,2006,0,1
AL,4,DEM,2006,0,1
AL,5,DEM,2006,0,1
AL,6,REP,2006,0,1
AL,7,DEM,2006,102944,2
AZ,1,REP,2006,37664,1
AZ,1,DEM,2006,38409,5
AZ,2,REP,2006,51386,1
AZ,2,DEM,2006,24650,3
AZ,3,REP,2006,35763,1
AZ,3,DEM,2006,15661,2
AZ,4,DEM,2006,14833,1
AZ,4,REP,2006,7175,1
AZ,5,DEM,2006,20852,1
AZ,5,REP,2006,38275,1
AZ,6,REP,2006,43199,1
AZ,7,DEM,2006,26604,1
AZ,7,REP,2006,16587,2
AZ,8,DEM,2006,61409,6
AZ,8,REP,2006,64076,5
AR,1,DEM,2006,0,1
AR,1,REP,2006,0,1
AR,2,DEM,2006,0,1
AR,2,REP,2006,16118,2
AR,3,REP,2006,0,1
AR,3,DEM,2006,0,1
AR,4,DEM,2006,0,1
AR,4,REP,2006,0,1
CA,1,DEM,2006,79138,1
CA,1,REP,2006,41953,1
CA,2,REP,2006,69669,1
CA,2,DEM,2006,42974,2
CA,3,REP,2006,56968,1
CA,3,DEM,2006,42980,1
CA,4,REP,2006,94893,2
CA,4,DEM,2006,56684,3
CA,5,DEM,2006,52951,1
CA,5,REP,2006,19005,1
CA,6,DEM,2006,108903,2
CA,6,REP,2006,19448,1
CA,7,DEM,2006,57308,1
CA,8,DEM,2006,77976,1
CA,8,REP,2006,9579,2
CA,9,DEM,2006,97874,1
CA,9,REP,2006,9350,1
CA,10,DEM,2006,60669,1
CA,10,REP,2006,33198,1
CA,11,DEM,2006,44732,3
CA,11,REP,2006,56888,3
CA,12,DEM,2006,73884,3
CA,12,REP,2006,19168,3
CA,13,DEM,2006,54654,1
CA,13,REP,2006,15788,1
CA,14,DEM,2006,65255,1
CA,14,REP,2006,28011,1
CA,15,DEM,2006,49400,1
CA,15,REP,2006,23693,1
CA,16,DEM,2006,46286,1
CA,16,REP,2006,19886,1
CA,17,DEM,2006,54998,1
CA,17,REP,2006,23703,1
CA,18,DEM,2006,31088,1
CA,18,REP,2006,19851,1
CA,19,REP,2006,54722,1
CA,19,DEM,2006,35278,1
CA,20,DEM,2006,24356,1
CA,21,REP,2006,43364,1
CA,21,DEM,2006,24927,1
CA,22,REP,2006,74031,3
CA,22,DEM,2006,31966,1
CA,23,DEM,2006,53503,1
CA,23,REP,2006,35956,2
CA,24,REP,2006,64826,2
CA,24,DEM,2006,36619,1
CA,25,REP,2006,36291,1
CA,25,DEM,2006,23203,1
CA,26,REP,2006,45581,3
CA,26,DEM,2006,30573,3
CA,27,DEM,2006,35563,1
CA,27,REP,2006,17065,1
CA,28,DEM,2006,38595,2
CA,28,REP,2006,8632,1
CA,29,DEM,2006,40852,2
CA,29,REP,2006,19281,1
CA,30,DEM,2006,59955,1
CA,30,REP,2006,20660,1
CA,31,DEM,2006,30131,2
CA,32,DEM,2006,30355,1
CA,33,DEM,2006,52235,2
CA,34,DEM,2006,22173,1
CA,34,REP,2006,5927,1
CA,35,DEM,2006,39876,2
CA,36,DEM,2006,48560,2
CA,36,REP,2006,23881,1
CA,37,DEM,2006,37574,2
CA,38,DEM,2006,31123,1
CA,38,REP,2006,8427,1
CA,39,DEM,2006,30714,3
CA,39,REP,2006,12870,1
CA,40,REP,2006,44038,1
CA,40,DEM,2006,25345,2
CA,41,REP,2006,45119,1
CA,41,DEM,2006,26466,1
CA,42,REP,2006,43813,1
CA,43,DEM,2006,20959,1
CA,43,REP,2006,10119,1
CA,44,REP,2006,35444,1
CA,44,DEM,2006,23592,1
CA,45,REP,2006,42080,1
CA,45,DEM,2006,33455,2
CA,46,REP,2006,53239,1
CA,46,DEM,2006,31292,1
CA,47,DEM,2006,19179,1
CA,47,REP,2006,17101,3
CA,48,REP,2006,55483,1
CA,48,DEM,2006,27812,1
CA,49,REP,2006,47693,1
CA,49,DEM,2006,24004,1
CA,50,REP,2006,76896,10
CA,50,DEM,2006,57920,2
CA,51,DEM,2006,45538,3
CA,51,REP,2006,22500,2
CA,52,REP,2006,60772,1
CA,52,DEM,2006,32003,5
CA,53,DEM,2006,41231,1
CA,53,REP,2006,23955,2
CO,1,DEM,2006,26000,1
CO,2,DEM,2006,23725,1
CO,2,REP,2006,15396,1
CO,3,DEM,2006,21871,1
CO,3,REP,2006,28482,1
CO,4,REP,2006,32205,1
CO,4,DEM,2006,16398,1
CO,5,REP,2006,56092,6
CO,5,DEM,2006,10238,1
CO,6,REP,2006,44039,1
CO,6,DEM,2006,18673,1
CO,7,DEM,2006,29270,3
CO,7,REP,2006,20535,1
CT,1,DEM,2006,0,1
CT,1,REP,2006,3146,2
CT,2,DEM,2006,0,1
CT,2,REP,2006,0,1
CT,3,DEM,2006,0,1
CT,3,REP,2006,0,1
CT,4,REP,2006,0,1
CT,4,DEM,2006,0,1
CT,5,DEM,2006,0,1
CT,5,REP,2006,0,1
FL,1,REP,2006,0,1
FL,1,DEM,2006,0,1
FL,2,DEM,2006,0,1
FL,3,DEM,2006,0,1
FL,4,REP,2006,0,1
FL,4,DEM,2006,0,1
FL,5,REP,2006,0,1
FL,5,DEM,2006,42055,3
FL,6,REP,2006,0,1
FL,6,DEM,2006,0,1
FL,7,REP,2006,0,1
FL,7,DEM,2006,0,1
FL,8,REP,2006,42368,2
FL,8,DEM,2006,26669,3
FL,9,REP,2006,49518,2
FL,9,DEM,2006,0,1
FL,10,REP,2006,0,1
FL,10,DEM,2006,0,1
FL,11,DEM,2006,39494,5
FL,11,REP,2006,0,1
FL,12,REP,2006,0,1
FL,13,REP,2006,64694,5
FL,13,DEM,2006,38467,2
FL,14,REP,2006,0,1
FL,14,DEM,2006,0,1
FL,15,REP,2006,0,1
FL,15,DEM,2006,27485,2
FL,16,DEM,2006,0,1
FL,16,REP,2006,0,1
FL,17,DEM,2006,36276,2
FL,18,REP,2006,0,1
FL,18,DEM,2006,0,1
FL,19,DEM,2006,0,1
FL,20,DEM,2006,0,1
FL,21,REP,2006,0,1
FL,21,DEM,2006,0,1
FL,22,DEM,2006,0,1
FL,22,REP,2006,0,1
FL,23,DEM,2006,0,1
FL,24,REP,2006,0,1
FL,24,DEM,2006,25280,2
FL,25,REP,2006,0,1
FL,25,DEM,2006,0,1
GA,1,REP,2006,27043,1
GA,2,DEM,2006,46059,1
GA,2,REP,2006,11755,1
GA,3,REP,2006,39572,1
GA,3,DEM,2006,24197,1
GA,4,DEM,2006,61998,3
GA,4,REP,2006,8832,1
GA,5,DEM,2006,49993,1
GA,6,REP,2006,58243,2
GA,7,REP,2006,40940,1
GA,7,DEM,2006,15987,1
GA,8,DEM,2006,33133,1
GA,8,REP,2006,30749,2
GA,9,REP,2006,47682,1
GA,9,DEM,2006,14972,2
