state,district,party,year,votes,candidates
AL,1,REP,2014,0,1
AL,1,DEM,2014,0,1
AL,2,REP,2014,0,1
AL,2,DEM,2014,0,1
AL,3,REP,2014,66371,2
AL,3,DEM,2014,0,1
AL,4,REP,2014,0,1
AL,5,REP,2014,61155,2
AL,6,REP,2014,94534,7
AL,6,DEM,2014,0,2
AL,7,DEM,2014,89327,2
AZ,1,DEM,2014,51393,1
AZ,1,REP,2014,52487,3
AZ,2,REP,2014,65590,3
AZ,2,DEM,2014,49039,1
AZ,3,DEM,2014,28758,1
AZ,3,REP,2014,18823,1
AZ,4,REP,2014,65354,1
AZ,4,DEM,2014,19643,1
AZ,5,REP,2014,71690,1
AZ,5,DEM,2014,20249,1
AZ,6,REP,2014,69902,1
AZ,6,DEM,2014,25306,1
AZ,7,DEM,2014,30542,4
AZ,8,REP,2014,73400,2
AZ,9,DEM,2014,31900,1
AZ,9,REP,2014,50292,2
AR,1,REP,2014,0,1
AR,1,DEM,2014,0,1
AR,2,REP,2014,54310,3
AR,2,DEM,2014,0,1
AR,3,REP,2014,0,1
AR,4,REP,2014,34378,2
AR,4,DEM,2014,0,1
CA,1,REP,2014,89226,2
CA,1,DEM,2014,51694,2
CA,2,DEM,2014,113431,2
CA,2,REP,2014,32614,1
CA,3,DEM,2014,54672,1
CA,3,REP,2014,47560,1
CA,4,REP,2014,113854,2
CA,5,DEM,2014,88709,1
CA,6,DEM,2014,62640,1
CA,6,REP,2014,22465,1
CA,7,DEM,2014,51878,1
CA,7,REP,2014,56662,3
CA,8,REP,2014,49044,2
CA,8,DEM,2014,19815,2
CA,9,DEM,2014,38295,1
CA,9,REP,2014,39256,3
CA,10,REP,2014,44237,1
CA,10,DEM,2014,30809,2
CA,11,DEM,2014,70313,4
CA,11,REP,2014,28242,1
CA,12,DEM,2014,85104,3
CA,12,REP,2014,12922,1
CA,13,DEM,2014,82063,2
CA,13,REP,2014,9533,1
CA,14,DEM,2014,66800,1
CA,14,REP,2014,19482,1
CA,15,DEM,2014,64217,2
CA,15,REP,2014,22228,1
CA,16,DEM,2014,27956,2
CA,16,REP,2014,29811,4
CA,17,DEM,2014,68991,2
CA,17,REP,2014,21513,2
CA,18,DEM,2014,81295,1
CA,18,REP,2014,38945,3
CA,19,DEM,2014,83977,2
CA,20,DEM,2014,67528,1
CA,21,REP,2014,28773,1
CA,21,DEM,2014,16914,2
CA,22,REP,2014,66902,2
CA,22,DEM,2014,22198,1
CA,23,REP,2014,58334,1
CA,23,DEM,2014,313,1
CA,24,DEM,2014,64988,3
CA,24,REP,2014,67026,5
CA,25,REP,2014,41921,4
