state,district,party,votes,sos link,note,checked
AL,1,REP,0,http://www2.alabamavotes.gov/electionnight/statewideresultsbycontest.aspx?ecode=1001000,No results for uncontested,
AL,3,REP,0,, ,
AL,5,DEM,0,, ,
AL,6,DEM,0,, ,
AL,6,REP,0,, ,
AL,7,DEM,0,, ,
AR,1,DEM,0,http://results.enr.clarityelections.com/AR/74831/Web02-state.203322/#/,No results for uncontested,
AR,1,REP,0,, ,
AR,2,REP,0,, ,
AR,3,DEM,0,, ,
AR,4,DEM,0,, ,
CA,13,DEM,"159,751",https://vote.sos.ca.gov/contests/district/us-rep, ,
CA,14,DEM,"123,843",, ,
CA,14,REP,"32,040",, ,
CA,16,DEM,"38,670",, ,
CA,16,REP,"34,400",, ,
CA,19,DEM,"96,892",, ,
CA,21,DEM,"20,209",, ,
CA,21,REP,"35,205",, ,
CA,27,DEM,94722,, ,
CA,32,DEM,"51,542",, ,
CA,37,DEM,"91,229",, ,
CA,37,REP,"11,113",, ,
CA,38,DEM,"54,370",, ,
CA,38,REP,"32,411",, ,
CA,40,DEM,"32,727",, ,
CA,41,DEM,"43,753",, ,
CA,41,REP,"31,324",, ,
CA,6,DEM,"111,860",, ,
GA,1,REP,"35,552",http://results.enr.clarityelections.com/GA/74658/Web02-state.203322/#/, ,
GA,11,DEM,"21,621",, ,
GA,11,REP,"43,309",, ,
GA,13,DEM,"56,216",, ,
GA,14,DEM,"10,627",, ,
GA,14,REP,"38,270",, ,
GA,2,DEM,"42,855",, ,
GA,2,REP,"23,147",, ,
GA,4,REP,"15,367",, ,
GA,5,DEM,"80,860",, ,
GA,6,REP,"40,410",, ,
GA,8,REP,"41,467",, ,
GA,9,REP,"63,646",, ,
IA,1,REP,"14,904",http://results.enr.clarityelections.com/IA/76338/Web02-state.203322/#/, ,
IA,2,REP,"20,626",, ,
IA,2,DEM,"42,692",, ,
IA,3,REP,"21,946",, ,
ID,2,REP,"72,243",https://sos.idaho.gov/elect/results/2018/Primary/statewide_totals.html, ,
IL,1,REP,15389,, ,
IL,1,DEM,104114,, ,
IL,10,DEM,58195,, ,
IL,11,DEM,49762,, ,
IL,13,REP,44512,, ,
IL,14,REP,51672,, ,
IL,15,REP,73825,, ,
IL,17,REP,38411,, ,
IL,17,DEM,42964,, ,
IL,3,REP,20681,, ,
IL,4,REP,5805,, ,
IL,5,REP,18837,, ,
IL,6,REP,56544,, ,
IL,8,REP,25448,, ,
IL,8,DEM,44042,, ,
IL,9,DEM,108417,, ,
IN,3,REP,"58,745",, ,
IN,5,REP,"63,904",, ,
IN,8,DEM,"26,232",https://indianaenr.blob.core.usgovcloudapi.net/site/index.html#, ,
KY,1,REP,0,http://results.enr.clarityelections.com/KY/75480/202101/Web01/en/summary.html, ,
KY,2,REP,0,, ,
KY,3,DEM,0,, ,
KY,4,REP,0,, ,
MS,1,REP,30151,http://www.sos.ms.gov/Elections-Voting/Pages/2018-Republican-Primary.aspx,jun 19 and jun 15 results,
MS,1,DEM,11692,http://www.sos.ms.gov/elections/electionResults/2018%20Democratic%20Primary%20Certified%20Results.pdf, ,
